,City,Suburb,Sales 3Q 2020,Median 3Q 2020,Sales 3Q 2021,Median 3Q 2021,Median Change,Index,Country,Sales Change
65,BURNSIDE,WATTLE PARK,2.0,855000.0,6.0,1500000.0,0.7543859649122807,65,USA,4.0
66,CAMPBELLTOWN,ATHELSTONE,31.0,550000.0,36.0,651000.0,0.18363636363636363,66,USA,5.0
67,CAMPBELLTOWN,CAMPBELLTOWN,22.0,567500.0,37.0,646500.0,0.13920704845814977,67,USA,15.0
68,CAMPBELLTOWN,HECTORVILLE,10.0,553750.0,18.0,715500.0,0.29209932279909706,68,USA,8.0
69,CAMPBELLTOWN,MAGILL,38.0,670000.0,31.0,875300.0,0.3064179104477612,69,USA,-7.0
70,CAMPBELLTOWN,NEWTON,21.0,549500.0,17.0,615000.0,0.1191992720655141,70,USA,-4.0
71,CAMPBELLTOWN,PARADISE,26.0,600000.0,30.0,655000.0,0.09166666666666666,71,USA,4.0
72,CAMPBELLTOWN,ROSTREVOR,24.0,662500.0,42.0,755000.0,0.13962264150943396,72,USA,18.0
73,CAMPBELLTOWN,TRANMERE,6.0,650000.0,13.0,800800.0,0.232,73,USA,7.0
74,CHARLES STURT,ALBERT PARK,3.0,448500.0,6.0,586000.0,0.30657748049052397,74,USA,3.0
75,CHARLES STURT,ALLENBY GARDENS,5.0,743000.0,3.0,760000.0,0.02288021534320323,75,USA,-2.0
76,CHARLES STURT,ATHOL PARK,2.0,446000.0,9.0,535000.0,0.19955156950672645,76,USA,7.0
77,CHARLES STURT,BEVERLEY,7.0,528500.0,4.0,665000.0,0.2582781456953642,77,USA,-3.0
78,CHARLES STURT,BOWDEN,6.0,598300.0,4.0,850000.0,0.42069196055490554,78,USA,-2.0
79,CHARLES STURT,BROMPTON,11.0,595000.0,13.0,712750.0,0.19789915966386554,79,USA,2.0
80,CHARLES STURT,CHELTENHAM,3.0,700000.0,5.0,550000.0,-0.21428571428571427,80,USA,2.0
81,CHARLES STURT,CROYDON,3.0,645000.0,3.0,957500.0,0.4844961240310077,81,USA,0.0
82,CHARLES STURT,DEVON PARK,3.0,475000.0,3.0,633000.0,0.33263157894736844,82,USA,0.0
83,CHARLES STURT,FINDON,14.0,570000.0,33.0,595000.0,0.043859649122807015,83,USA,19.0
84,CHARLES STURT,FLINDERS PARK,21.0,565000.0,19.0,710000.0,0.25663716814159293,84,USA,-2.0
85,CHARLES STURT,FULHAM GARDENS,18.0,767500.0,13.0,800000.0,0.04234527687296417,85,USA,-5.0
86,CHARLES STURT,GRANGE,22.0,780000.0,22.0,970000.0,0.24358974358974358,86,USA,0.0
87,CHARLES STURT,HENDON,4.0,465000.0,3.0,518000.0,0.11397849462365592,87,USA,-1.0
88,CHARLES STURT,HENLEY BEACH,12.0,1100000.0,18.0,1270000.0,0.15454545454545454,88,USA,6.0
89,CHARLES STURT,HENLEY BEACH SOUTH,6.0,1012500.0,7.0,1320000.0,0.3037037037037037,89,USA,1.0
90,CHARLES STURT,HINDMARSH,,,,,,90,USA,
91,CHARLES STURT,KIDMAN PARK,14.0,580000.0,13.0,744750.0,0.28405172413793106,91,USA,-1.0
92,CHARLES STURT,KILKENNY,2.0,528500.0,6.0,660000.0,0.24881740775780511,92,USA,4.0
93,CHARLES STURT,OVINGHAM,,,3.0,900000.0,,93,USA,
94,CHARLES STURT,PENNINGTON,15.0,450000.0,8.0,535000.0,0.18888888888888888,94,USA,-7.0
95,CHARLES STURT,RENOWN PARK,3.0,535000.0,4.0,645000.0,0.205607476635514,95,USA,1.0
96,CHARLES STURT,RIDLEYTON,4.0,532000.0,2.0,666500.0,0.25281954887218044,96,USA,-2.0
97,CHARLES STURT,ROSEWATER,21.0,395000.0,17.0,514500.0,0.30253164556962026,97,USA,-4.0
98,CHARLES STURT,ROYAL PARK,7.0,450000.0,19.0,562000.0,0.24888888888888888,98,USA,12.0
99,CHARLES STURT,SEATON,28.0,557500.0,39.0,630000.0,0.13004484304932734,99,USA,11.0
100,CHARLES STURT,SEMAPHORE PARK,13.0,560000.0,15.0,641000.0,0.14464285714285716,100,USA,2.0
101,CHARLES STURT,ST CLAIR,8.0,528250.0,5.0,622500.0,0.17841930903928063,101,USA,-3.0
102,CHARLES STURT,TENNYSON,6.0,1320000.0,3.0,985000.0,-0.2537878787878788,102,USA,-3.0
103,CHARLES STURT,WELLAND,2.0,493000.0,2.0,470000.0,-0.04665314401622718,103,USA,0.0
104,CHARLES STURT,WEST BEACH,16.0,805000.0,17.0,1105000.0,0.37267080745341613,104,USA,1.0
105,CHARLES STURT,WEST CROYDON,13.0,595000.0,18.0,750000.0,0.2605042016806723,105,USA,5.0
106,CHARLES STURT,WEST HINDMARSH,8.0,608750.0,7.0,750000.0,0.23203285420944558,106,USA,-1.0
107,CHARLES STURT,WEST LAKES,9.0,827500.0,18.0,890000.0,0.0755287009063444,107,USA,9.0
108,CHARLES STURT,WEST LAKES SHORE,11.0,718000.0,14.0,825000.0,0.149025069637883,108,USA,3.0
109,CHARLES STURT,WOODVILLE,4.0,741600.0,5.0,995000.0,0.3416936353829558,109,USA,1.0
110,CHARLES STURT,WOODVILLE NORTH,5.0,461000.0,9.0,510000.0,0.10629067245119306,110,USA,4.0
111,CHARLES STURT,WOODVILLE PARK,6.0,555000.0,3.0,562000.0,0.012612612612612612,111,USA,-3.0
112,CHARLES STURT,WOODVILLE SOUTH,19.0,584750.0,7.0,795000.0,0.3595553655408294,112,USA,-12.0
113,CHARLES STURT,WOODVILLE WEST,13.0,510000.0,8.0,673250.0,0.32009803921568625,113,USA,-5.0
114,GAWLER,BIBARINGA,,,,,,114,USA,
115,GAWLER,EVANSTON,6.0,358300.0,15.0,300100.0,-0.1624337147641641,115,USA,9.0
116,GAWLER,EVANSTON GARDENS,13.0,327500.0,11.0,342500.0,0.04580152671755725,116,USA,-2.0
117,GAWLER,EVANSTON PARK,12.0,361000.0,25.0,375000.0,0.038781163434903045,117,USA,13.0
118,GAWLER,EVANSTON SOUTH,2.0,400000.0,1.0,570000.0,0.425,118,USA,-1.0
119,GAWLER,GAWLER,3.0,302500.0,2.0,452500.0,0.49586776859504134,119,USA,-1.0
120,GAWLER,GAWLER EAST,18.0,367500.0,33.0,425000.0,0.1564625850340136,120,USA,15.0
121,GAWLER,GAWLER SOUTH,10.0,316000.0,19.0,405000.0,0.28164556962025317,121,USA,9.0
122,GAWLER,GAWLER WEST,2.0,217500.0,8.0,258500.0,0.18850574712643678,122,USA,6.0
123,GAWLER,HILLIER,,,,,,123,USA,
124,GAWLER,KUDLA,,,,,,124,USA,
125,GAWLER,REID,1.0,336000.0,1.0,560000.0,0.6666666666666666,125,USA,0.0
126,GAWLER,ULEYBURY,,,,,,126,USA,
127,GAWLER,WILLASTON,14.0,337500.0,18.0,355000.0,0.05185185185185185,127,USA,4.0
128,HOLDFAST BAY,BRIGHTON,7.0,574500.0,6.0,1018000.0,0.7719756309834639,128,USA,-1.0
129,HOLDFAST BAY,GLENELG,4.0,1020500.0,,,,129,USA,
130,HOLDFAST BAY,GLENELG EAST,5.0,970000.0,11.0,920000.0,-0.05154639175257732,130,USA,6.0
131,HOLDFAST BAY,GLENELG NORTH,10.0,782000.0,13.0,985500.0,0.260230179028133,131,USA,3.0
132,HOLDFAST BAY,GLENELG SOUTH,,,4.0,2657500.0,,132,USA,
133,HOLDFAST BAY,HOVE,10.0,752500.0,5.0,960000.0,0.2757475083056478,133,USA,-5.0
134,HOLDFAST BAY,KINGSTON PARK,1.0,630000.0,1.0,1710000.0,1.7142857142857142,134,USA,0.0
135,HOLDFAST BAY,NORTH BRIGHTON,3.0,655000.0,5.0,1050000.0,0.6030534351145038,135,USA,2.0
136,HOLDFAST BAY,SEACLIFF,7.0,1182500.0,3.0,1184375.0,0.0015856236786469344,136,USA,-4.0
137,HOLDFAST BAY,SEACLIFF PARK,4.0,620000.0,7.0,772000.0,0.24516129032258063,137,USA,3.0
138,HOLDFAST BAY,SOMERTON PARK,18.0,1275000.0,16.0,1040000.0,-0.1843137254901961,138,USA,-2.0
139,HOLDFAST BAY,SOUTH BRIGHTON,7.0,770000.0,6.0,745000.0,-0.032467532467532464,139,USA,-1.0
140,MARION,ASCOT PARK,10.0,512500.0,14.0,570500.0,0.11317073170731708,140,USA,4.0
141,MARION,BEDFORD PARK,2.0,497500.0,5.0,620000.0,0.24623115577889448,141,USA,3.0
142,MARION,CLOVELLY PARK,10.0,503750.0,11.0,655000.0,0.3002481389578164,142,USA,1.0
143,MARION,DARLINGTON,4.0,555000.0,4.0,445250.0,-0.19774774774774775,143,USA,0.0
144,MARION,DOVER GARDENS,8.0,510000.0,10.0,566000.0,0.10980392156862745,144,USA,2.0
145,MARION,EDWARDSTOWN,10.0,520000.0,14.0,640000.0,0.23076923076923078,145,USA,4.0
146,MARION,GLANDORE,3.0,487000.0,4.0,920000.0,0.8891170431211499,146,USA,1.0
147,MARION,GLENGOWRIE,7.0,658000.0,17.0,865000.0,0.31458966565349544,147,USA,10.0
148,MARION,HALLETT COVE,51.0,506500.0,37.0,580000.0,0.14511352418558737,148,USA,-14.0
149,MARION,LONSDALE,,,,,,149,USA,
150,MARION,MARINO,15.0,723750.0,11.0,881200.0,0.2175474956822107,150,USA,-4.0
151,MARION,MARION,11.0,565000.0,15.0,668000.0,0.18230088495575222,151,USA,4.0
152,MARION,MITCHELL PARK,7.0,470000.0,13.0,630000.0,0.3404255319148936,152,USA,6.0
153,MARION,MORPHETTVILLE,11.0,608000.0,17.0,700000.0,0.1513157894736842,153,USA,6.0
154,MARION,OAKLANDS PARK,11.0,538000.0,9.0,635650.0,0.18150557620817845,154,USA,-2.0
155,MARION,O'HALLORAN HILL,6.0,411000.0,9.0,485000.0,0.18004866180048662,155,USA,3.0
156,MARION,PARK HOLME,5.0,475000.0,10.0,679250.0,0.43,156,USA,5.0
157,MARION,PLYMPTON PARK,11.0,598000.0,8.0,710000.0,0.18729096989966554,157,USA,-3.0
158,MARION,SEACLIFF PARK,4.0,620000.0,7.0,772000.0,0.24516129032258063,158,USA,3.0
159,MARION,SEACOMBE GARDENS,13.0,467500.0,11.0,642000.0,0.3732620320855615,159,USA,-2.0
160,MARION,SEACOMBE HEIGHTS,6.0,554000.0,13.0,747500.0,0.3492779783393502,160,USA,7.0
161,MARION,SEAVIEW DOWNS,7.0,525000.0,9.0,665000.0,0.26666666666666666,161,USA,2.0
162,MARION,SHEIDOW PARK,16.0,450000.0,34.0,492000.0,0.09333333333333334,162,USA,18.0
163,MARION,SOUTH PLYMPTON,20.0,562500.0,16.0,620000.0,0.10222222222222223,163,USA,-4.0
164,MARION,STURT,10.0,484000.0,6.0,555000.0,0.14669421487603307,164,USA,-4.0
165,MARION,TONSLEY,,,5.0,494000.0,,165,USA,
166,MARION,TROTT PARK,11.0,417500.0,9.0,548000.0,0.3125748502994012,166,USA,-2.0
167,MARION,WARRADALE,31.0,595000.0,17.0,718000.0,0.20672268907563024,167,USA,-14.0
168,MITCHAM,BEDFORD PARK,2.0,497500.0,5.0,620000.0,0.24623115577889448,168,USA,3.0
169,MITCHAM,BELAIR,16.0,665000.0,18.0,815000.0,0.22556390977443608,169,USA,2.0
170,MITCHAM,BELLEVUE HEIGHTS,5.0,516500.0,14.0,676000.0,0.30880929332042595,170,USA,9.0
171,MITCHAM,BLACKWOOD,12.0,660000.0,14.0,675000.0,0.022727272727272728,171,USA,2.0
172,MITCHAM,BROWN HILL CREEK,,,,,,172,USA,
